2023-09-29 22:37:09.462 [info] Log level: Info
2023-09-29 22:37:09.462 [info] Validating found git in: "git"
2023-09-29 22:37:09.528 [info] Using git "2.42.0" from "git"
2023-09-29 22:37:13.449 [info] > git rev-parse --show-toplevel [3788ms]
2023-09-29 22:37:13.505 [info] > git rev-parse --show-toplevel [4ms]
2023-09-29 22:37:13.518 [info] > git rev-parse --show-toplevel [4ms]
2023-09-29 22:37:13.530 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.033 [info] > git rev-parse --show-toplevel [492ms]
2023-09-29 22:37:14.051 [info] > git rev-parse --show-toplevel [8ms]
2023-09-29 22:37:14.063 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.080 [info] > git rev-parse --show-toplevel [8ms]
2023-09-29 22:37:14.098 [info] > git rev-parse --show-toplevel [3ms]
2023-09-29 22:37:14.159 [info] > git rev-parse --show-toplevel [48ms]
2023-09-29 22:37:14.189 [info] > git rev-parse --show-toplevel [19ms]
2023-09-29 22:37:14.201 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.212 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.224 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.235 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.247 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.259 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.269 [info] > git rev-parse --show-toplevel [1ms]
2023-09-29 22:37:14.281 [info] > git rev-parse --show-toplevel [1ms]
2023-09-29 22:37:14.292 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.304 [info] > git rev-parse --show-toplevel [3ms]
2023-09-29 22:37:14.316 [info] > git rev-parse --show-toplevel [1ms]
2023-09-29 22:37:14.328 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 22:37:14.340 [info] > git rev-parse --show-toplevel [1ms]
2023-09-29 22:37:14.351 [info] > git rev-parse --show-toplevel [1ms]
2023-09-29 22:37:14.362 [info] > git rev-parse --show-toplevel [1ms]
